ID,CLAVE,DENOMINACION
01,Alameda,alameda
02,Calle,calle-c/
03,Camino,camino
04,Carrer,carrer
05,Carretera,carretera-crta.
06,Glorieta,glorieta
07,Kalea,kalea
08,Pasaje,pasaje
09,Paseo,paseo-pº
10,Plaça,plaça
11,Plaza,plaza-plaza.-plza-plza.-pza-pza.
12,Rambla,rambla
13,Ronda,ronda
14,Rúa,rua-rúa
15,Sector,sector
16,Travesía,travesia-travesía
17,Urbanización,urbanizacion-urbanización
18,Avenida,avenida-avda-avda.-av.
19,Avinguda,avinguda
20,Barrio,barrio-bº
21,Calleja,calleja
22,Camí,cami-camí
23,Campo,campo
24,Carrera,carrera
25,Cuesta,cuesta
26,Edificio,edificio
27,Enparantza,enparantza
28,Estrada,estrada
29,Jardines,jardines
30,Jardins,jardins
31,Parque,parque
32,Passeig,passeig
33,Praza,praza
34,Plazuela,plazuela
35,Placeta,placeta
36,Poblado,poblado-pbdo-pd
37,Via,via-vía
38,Travessera,Travesera
40,Passatge,Passatge-ps.
41,Bulevar,Bulevar
42,Polígono,poligono-polígono-
99,Otros,otros
